data_date,commercial_crude_exSPR_MB
2016-01-01,482.324
2016-01-08,482.558
2016-01-22,494.92
2016-01-29,502.712
2016-02-05,501.958
2016-02-19,507.607
2016-02-26,517.981
2016-03-04,521.861
2016-03-11,523.178
2016-03-18,532.535
2016-03-25,534.834
2016-04-01,529.897
2016-04-08,536.531
2016-04-15,538.611
2016-04-22,540.61
2016-04-29,543.394
2016-05-06,539.984
2016-05-13,541.294
2016-05-20,537.068
2016-06-03,532.476
2016-06-10,531.543
2016-06-17,530.626
2016-06-24,526.573
2016-07-08,521.804
2016-07-15,519.462
2016-07-22,521.133
2016-07-29,522.546
2016-08-05,523.601
2016-08-12,521.093
2016-08-19,523.594
2016-08-26,525.87
2016-09-09,510.798
2016-09-16,504.598
2016-09-23,502.716
2016-09-30,499.74
2016-10-14,468.7
2016-10-21,468.158
2016-10-28,482.578
2016-11-04,485.01
2016-11-11,490.284
2016-11-18,489.029
2016-11-25,488.145
2016-12-02,485.756
2016-12-09,483.193
2016-12-16,485.449
2017-01-06,483.109
2017-01-20,488.296
2017-01-27,494.762
2017-02-03,508.592
2017-02-10,518.119
2017-02-24,520.184
2017-03-03,528.393
2017-03-10,528.156
2017-03-17,533.11
2017-03-24,533.977
2017-03-31,535.543
2017-04-07,533.377
2017-04-14,532.343
2017-04-21,528.702
2017-04-28,527.772
2017-05-05,522.525
2017-05-12,520.772
2017-05-19,516.34
2017-06-02,513.207
2017-06-09,511.546
2017-06-16,509.095
2017-06-23,509.213
2017-07-07,495.35
2017-07-14,490.623
2026-01-02,419.056
2026-01-09,422.447
2026-01-16,426.049
2026-01-23,423.754
2026-01-30,420.299
2026-02-06,428.829
2026-02-13,419.815
2026-02-20,435.804
2026-02-27,439.279
2026-03-06,443.103
2026-03-13,449.259
2026-03-20,456.185
2026-03-27,461.636
2026-04-03,464.717
2026-04-10,463.804
2026-04-17,465.729
2026-04-24,459.495
2026-05-01,457.182
2026-05-08,452.876
2026-05-15,445.013
2026-05-22,441.686
2026-05-29,433.712
2026-06-05,426.485
