data_date,crude_imports_kbd
2016-01-01,7510.0
2016-01-08,8188.0
2016-01-22,7609.0
2016-01-29,8256.0
2016-02-05,7124.0
2016-02-19,7802.0
2016-02-26,8292.0
2016-03-04,8048.0
2016-03-11,7693.0
2016-03-18,8384.0
2016-03-25,7748.0
2016-04-01,7254.0
2016-04-08,7940.0
2016-04-15,8187.0
2016-04-22,7550.0
2016-04-29,7660.0
2016-05-06,7655.0
2016-05-13,7677.0
2016-05-20,7315.0
2016-06-03,7705.0
2016-06-10,7622.0
2016-06-17,8439.0
2016-06-24,7555.0
2016-07-08,7841.0
2016-07-15,8134.0
2016-07-22,8437.0
2016-07-29,8738.0
2016-08-05,8404.0
2016-08-12,8193.0
2016-08-19,8642.0
2016-08-26,8917.0
2016-09-09,8062.0
2016-09-16,8309.0
2016-09-23,7835.0
2016-09-30,7710.0
2016-10-14,6907.0
2016-10-21,7016.0
2016-10-28,8995.0
2016-11-04,7442.0
2016-11-11,8423.0
2016-11-18,7578.0
2016-11-25,7548.0
2016-12-02,8303.0
2016-12-09,7360.0
2016-12-16,8471.0
2017-01-06,9052.0
2017-01-20,7810.0
2017-01-27,8290.0
2017-02-03,9372.0
2017-02-10,8491.0
2017-02-24,7589.0
2017-03-03,8150.0
2017-03-10,7405.0
2017-03-17,8307.0
2017-03-24,8224.0
2017-03-31,7850.0
2017-04-07,7878.0
2017-04-14,7810.0
2017-04-21,8912.0
2017-04-28,8264.0
2017-05-05,7620.0
2017-05-12,8590.0
2017-05-19,8294.0
2017-06-02,8341.0
2017-06-09,8025.0
2017-06-16,7876.0
2017-06-23,8016.0
2017-07-07,7610.0
2017-07-14,7996.0
2017-07-21,8044.0
2017-07-28,8253.0
2017-08-04,7762.0
2017-08-11,8126.0
2017-08-18,8790.0
2026-01-02,6339.0
2026-01-09,7092.0
2026-01-16,6447.0
2026-01-23,5642.0
2026-01-30,6201.0
2026-02-06,6805.0
2026-02-13,6524.0
2026-02-20,6659.0
2026-02-27,6324.0
2026-03-06,6422.0
2026-03-13,7194.0
2026-03-20,6464.0
2026-03-27,6454.0
2026-04-03,6324.0
2026-04-10,5291.0
2026-04-17,6078.0
2026-04-24,5750.0
2026-05-01,5477.0
2026-05-08,5901.0
2026-05-15,6016.0
2026-05-22,5212.0
2026-05-29,6397.0
2026-06-05,5888.0
