data_date,refinery_input_kbd
2016-01-01,16617.0
2016-01-08,16423.0
2016-01-22,15639.0
2016-01-29,15615.0
2016-02-05,15510.0
2016-02-19,15685.0
2016-02-26,15852.0
2016-03-04,15911.0
2016-03-11,15996.0
2016-03-18,15820.0
2016-03-25,16234.0
2016-04-01,16433.0
2016-04-08,15941.0
2016-04-15,16104.0
2016-04-22,15847.0
2016-04-29,15986.0
2016-05-06,16179.0
2016-05-13,16371.0
2016-05-20,16279.0
2016-06-03,16417.0
2016-06-10,16317.0
2016-06-17,16505.0
2016-06-24,16695.0
2016-07-08,16544.0
2016-07-15,16863.0
2016-07-22,16586.0
2016-07-29,16852.0
2016-08-05,16597.0
2016-08-12,16865.0
2016-08-19,16679.0
2016-08-26,16615.0
2016-09-09,16730.0
2016-09-16,16587.0
2016-09-23,16334.0
2016-09-30,16032.0
2016-10-14,15370.0
2016-10-21,15552.0
2016-10-28,15448.0
2016-11-04,15817.0
2016-11-11,16126.0
2016-11-18,16397.0
2016-11-25,16283.0
2016-12-02,16417.0
2016-12-09,16474.0
2016-12-16,16658.0
2017-01-06,17107.0
2017-01-20,16047.0
2017-01-27,15947.0
2017-02-03,15893.0
2017-02-10,15458.0
2017-02-24,15664.0
2017-03-03,15492.0
2017-03-10,15472.0
2017-03-17,15801.0
2017-03-24,16226.0
2017-03-31,16429.0
2017-04-07,16697.0
2017-04-14,16938.0
2017-04-21,17285.0
2017-04-28,17177.0
2017-05-05,16759.0
2017-05-12,17122.0
2017-05-19,17281.0
2017-06-02,17227.0
2017-06-09,17256.0
2017-06-16,17152.0
2017-06-23,16890.0
2017-07-07,17244.0
2017-07-14,17119.0
2017-07-21,17285.0
2017-07-28,17408.0
2017-08-04,17574.0
2017-08-11,17565.0
2017-08-18,17461.0
2026-01-02,16909.0
2026-01-09,16958.0
2026-01-16,16604.0
2026-01-23,16209.0
2026-01-30,16029.0
2026-02-06,16000.0
2026-02-13,16077.0
2026-02-20,15661.0
2026-02-27,15841.0
2026-03-06,16169.0
2026-03-13,16232.0
2026-03-20,16598.0
2026-03-27,16379.0
2026-04-03,16250.0
2026-04-10,16042.0
2026-04-17,15987.0
2026-04-24,16071.0
2026-05-01,16029.0
2026-05-08,16399.0
2026-05-15,16319.0
2026-05-22,16971.0
2026-05-29,16881.0
2026-06-05,16962.0
