data_date,total_products_supplied_kbd
2016-01-01,18296.0
2016-01-08,18540.0
2016-01-22,21101.0
2016-01-29,19156.0
2016-02-05,19022.0
2016-02-19,20668.0
2016-02-26,19199.0
2016-03-04,19864.0
2016-03-11,19260.0
2016-03-18,19403.0
2016-03-25,19454.0
2016-04-01,19868.0
2016-04-08,19987.0
2016-04-15,20228.0
2016-04-22,19828.0
2016-04-29,20242.0
2016-05-06,19952.0
2016-05-13,20775.0
2016-05-20,20438.0
2016-06-03,19779.0
2016-06-10,20840.0
2016-06-17,20010.0
2016-06-24,21149.0
2016-07-08,19447.0
2016-07-15,20653.0
2016-07-22,20802.0
2016-07-29,20950.0
2016-08-05,20701.0
2016-08-12,20625.0
2016-08-19,20741.0
2016-08-26,20152.0
2016-09-09,20221.0
2016-09-16,19431.0
2016-09-23,19226.0
2016-09-30,20561.0
2016-10-14,19716.0
2016-10-21,20465.0
2016-10-28,19884.0
2016-11-04,20191.0
2016-11-11,19349.0
2016-11-18,20034.0
2016-11-25,19758.0
2016-12-02,19102.0
2016-12-09,18879.0
2016-12-16,21409.0
2017-01-06,18606.0
2017-01-20,18639.0
2017-01-27,19307.0
2017-02-03,20814.0
2017-02-10,18663.0
2017-02-24,19496.0
2017-03-03,19900.0
2017-03-10,19464.0
2017-03-17,19255.0
2017-03-24,19874.0
2017-03-31,19703.0
2017-04-07,19879.0
2017-04-14,19440.0
2017-04-21,19110.0
2017-04-28,19894.0
2017-05-05,20545.0
2017-05-12,19484.0
2017-05-19,20795.0
2017-06-02,19340.0
2017-06-09,19514.0
2017-06-16,21067.0
2017-06-23,19646.0
2017-07-07,19958.0
2017-07-14,21178.0
2026-01-02,19226.0
2026-01-09,21009.0
2026-01-16,20172.0
2026-01-23,20675.0
2026-01-30,21353.0
2026-02-06,21108.0
2026-02-13,21648.0
2026-02-20,21455.0
2026-02-27,19867.0
2026-03-06,21201.0
2026-03-13,21639.0
2026-03-20,20004.0
2026-03-27,20921.0
2026-04-03,20638.0
2026-04-10,20765.0
2026-04-17,19698.0
2026-04-24,21131.0
2026-05-01,19484.0
2026-05-08,19891.0
2026-05-15,20449.0
2026-05-22,20943.0
2026-05-29,20333.0
2026-06-05,20600.0
